RESPNO,URBRUR,REGION,EA_SVC_A,EA_SVC_B,EA_SVC_C,EA_SVC_D,EA_FAC_A,EA_FAC_B,EA_FAC_C,EA_FAC_D,EA_FAC_E,EA_SEC_A,EA_SEC_B,EA_SEC_C,EA_SEC_D,EA_SEC_E,EA_ROAD,NOCALL_1,NOCALL_2,NOCALL_3,NOCALL_4,NOCALL_5,NOCALL_6,NOCALL_7,PREVINT,THISINT,ADULT_CT,CALLS,DATEINTR,STRTIME,Q1,Q2,Q2OTHER,Q3A,Q3B,Q4,Q5A,Q5B,Q6A,Q6B,Q7,Q8A,Q8B,Q8C,Q8D,Q8E,Q9A,Q9B,Q10A,Q10B,Q10C,Q11,Q11OTHER,Q12,Q12OTHER,Q13A,Q13B,Q13C,Q13D,Q14,Q15,Q16,Q17A,Q17B,Q17C,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25A,Q25B,Q26A,Q26B,Q26C,Q26D,Q26E,Q27,Q28,Q28B_NIG,Q28C_NIG,Q29A,Q29B,Q29C,Q30A,Q30B,Q30C,Q30D,Q31A,Q31B,Q31C,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46A,Q46B,Q46C,Q46D,Q47A,Q47B,Q47C,Q47D,Q47E,Q48A,Q48B,Q48C,Q49,Q50,Q51,Q52A,Q52B,Q52C,Q52D,Q52E,Q53,Q54,Q55,Q56A,Q56B,Q56C,Q56D,Q56E,Q56F,Q56G,Q56H,Q56I,Q57,Q58,Q59A,Q59B,Q59C,Q59D,Q59E,Q59F,Q59G,Q59H,Q59I,Q59J,Q59K_NIG,Q60A,Q60B,Q60C,Q60D,Q60E,Q60F,Q60G,Q60H_NIG,Q60I_NIG,Q60J_NIG,Q61A,Q61B,Q61C,Q61D,Q61E,Q61F,Q62A,Q62B,Q63PT1,Q63PT1OTHER,Q63PT2,Q63PT2OTHER,Q63PT3,Q63PT3OTHER,Q64,Q65A,Q65B,Q65C,Q65D,Q65E,Q65F,Q65G,Q65H,Q65I,Q65J,Q65K,Q65L,Q65M,Q65N,Q65O,Q65P,Q65P_NIG,Q66A,Q66B,Q66C,Q66D,Q66E,Q67A,Q67B,Q67C,Q67D,Q67E,Q68A,Q68B,Q68C,Q68D,Q68E,Q68F,Q69A,Q69B,Q69C,Q69D,Q69E,Q69F,Q70A,Q70B,Q70C,Q71A,Q71B,Q71C,Q71D_NIG,Q72A,Q72B,Q72C,Q72D_NIG,Q73A,Q73B,Q73C,Q73D,Q73E,Q74,Q75A,Q75B,Q75C,Q76A,Q76B,Q77,Q77OTHER,Q78,Q78A1,Q79A_NIG,Q79B_NIG,Q79D_NIG,Q79E_NIG,Q80A_NIG,Q80B_NIG,Q80C_NIG,Q81A_NIG,Q81B_NIG,Q82A_NIG,Q82B_NIG,Q82C_NIG,Q82D_NIG,Q82E_NIG,Q83A_NIG,Q83B_NIG,Q83C_NIG,Q84,Q84OTHER,Q85A,Q85B,Q85C,Q86A,Q86B,Q86C,Q86D,Q86E,Q86F,Q87,Q88A,Q88B,Q88C,Q89A,Q89B,Q89BOTHER,Q90A,Q90B,Q90C,Q91A,Q91B,Q92,Q93A,Q93B,Q93C,Q94,Q95A,Q95B,Q96,Q97,Q98A,Q98AOTHER,Q98A1_NIG,Q98B,Q99,Q99OTHER,Q100,ENDTIME,LENGTH,Q101,Q102,Q102OTHER,Q103,Q103OTHER,Q104,Q105,Q106,Q107A,Q107B,Q107C,Q107D,Q107E,q108,Q110A,Q110B,Q110C,Q110D,Q110E,Q110F,Q112,Q113,Q114,Q115,Q116,Q116OTHER,Q117,withinwt
NIG1508,1,644,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,997,997,997,997,997,997,997,2,1,4,1,11/1/2012,15:20:00,19,621, ,1,4,3,1,3,4,4,1,2,0,0,2,2,2,0,3,0,0,3, ,8, ,3,3,2,2,3,2,2,3,3,3,4,1,1,4,4,1,4,0,0,0,0,0,0,0,1,3,3,3,0,0,0,0,0,0,0,1,2,2,3,4,1,4,1,4,1,1,4,4,2,1,1,3,1,5,5,10,8,9,7,6,9,5,5,5,1,1,1,1,2,1,0,1,2,1,2,1,2,1,1,1,2,1,1,1,2,4,0,0,0,0,0,0,0,0,3,1,0,2,2,2,2,2,2,2,2,2,2,7,7,7,7,7,0,0,0,4, ,15, ,3, ,9,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,2,3,3,2,1,1,1,2,2,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7,1,1,1,1,0,3,3,3,0,0,0,7,7,0,4,4,3,3,3,0, ,1,9,5,3,4,1,4,4,4,1,1,2,2,2,2,3,1,2,1,621, ,0,3,5,1,1,1,1,1,0,0,2,0,0,0,9997, ,1,1,0,2,2,1,4,3,0,6,2,2,1,6,1, ,3,4,9999, ,1,16:10:00,50,1,1, ,623, ,5,1,4,0,1,0,0,0,4,1,1,1,1,1,1,NIG01,38,1,2,622, ,8,1.006921
NIG1509,1,644,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,997,997,997,997,997,997,997,1,2,2,1,11/1/2012,15:23:00,35,621, ,1,1,3,4,4,4,4,2,2,0,1,2,2,2,0,0,0,7,8, ,1, ,0,3,0,0,2,0,2,1,2,4,1,1,4,2,3,1,4,2,0,1,0,0,0,0,1,4,4,4,0,0,0,0,0,0,0,1,1,1,3,1,4,1,4,4,1,2,2,2,9,1,4,9,2,5,4,7,8,7,7,5,8,4,4,4,1,1,3,1,2,0,0,0,3,1,2,1,0,0,1,1,0,1,2,1,2,3,2,1,2,2,1,2,3,1,2,2,2,0,1,2,1,2,1,1,2,2,2,0,0,0,0,0,0,0,0,3, ,14, ,6, ,3,1,1,1,1,1,1,2,3,3,2,1,1,1,3,3,2,3,4,3,3,4,4,1,5,5,5,5,0,7,7,7,7,7,0,7,7,7,7,7,0,0,7,3,3,3,3,0,1,0,1,0,0,0,0,0,0,2,3,2,1,2,3, ,2,3,5,3,1,3,2,2,3,4,4,4,3,2,1,2,2,9,2,621, ,0,3,2,1,1,1,1,1,1,0,0,0,0,0,9997, ,1,1,0,0,0,1,4,0,0,2,2,2,2,5,13, ,3,4,9999, ,1,16:23:00,60,2,1, ,1, ,5,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG04,33,2,2,633, ,8,1.006921
NIG1510,1,644,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,997,997,997,997,997,997,997,1,2,2,1,11/1/2012,15:10:00,33,621, ,2,4,2,3,4,4,5,1,2,2,1,1,2,1,1,0,0,7,0, ,1, ,3,3,2,0,0,0,4,3,3,4,2,4,4,3,2,2,4,2,0,0,0,1,0,0,1,4,4,4,0,0,0,0,0,0,0,5,1,1,1,3,1,4,4,3,3,2,4,2,9,1,1,1,4,6,5,10,6,8,7,5,10,5,4,1,2,4,3,0,0,0,1,0,2,3,0,1,0,1,0,2,1,1,1,2,2,3,0,1,3,0,0,1,0,0,1,1,1,2,1,2,2,3,1,2,1,2,2,0,0,0,0,0,0,1,1,7, ,1, ,14, ,2,1,1,1,1,1,3,2,2,2,1,3,3,4,3,2,2,2,4,3,3,3,3,4,5,5,4,3,1,7,7,7,7,7,0,7,7,7,7,7,1,0,7,2,3,2,4,0,1,2,3,0,0,0,0,0,0,2,2,2,1,3,4, ,2,2,4,4,1,3,2,3,3,4,4,4,4,2,1,3,2,2,1,621, ,0,3,4,1,1,1,1,1,1,0,1,0,0,0,9997, ,1,1,0,0,0,1,4,0,0,2,2,2,3,5,5, ,3,4,9998, ,1,16:05:00,55,2,1, ,1, ,5,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG03,31,2,2,622, ,6,1.006921
NIG1511,1,644,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,997,997,997,997,997,997,997,1,2,3,1,11/1/2012,16:15:00,32,627, ,1,4,4,2,3,5,5,1,1,0,0,1,1,2,2,0,0,7,4, ,4, ,1,1,0,0,0,1,1,3,2,2,4,1,1,1,4,1,1,0,0,0,0,0,0,0,1,3,3,3,0,0,0,0,0,0,0,1,2,1,3,1,1,4,1,3,1,1,1,1,1,1,2,4,2,5,6,9,99,9,99,99,9,5,4,4,1,1,1,0,2,1,1,1,3,2,2,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,0,1,1,0,2,1,0,1,1,1,1,2,1,1,1,1,1,7,0,7,1,7,0,0,0,16, ,23, ,4, ,3,1,1,1,1,1,1,3,3,1,1,1,1,3,1,1,1,1,2,3,3,2,2,1,2,1,3,3,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7,2,2,2,1,3,3,1,3,1,1,1,7,7,0,4,4,3,2,2,6, ,1,9,4,3,2,1,1,3,3,1,1,1,1,2,2,9,1,2,1,626, ,0,3,4,1,1,1,1,1,0,0,2,1,1,0,9997, ,1,1,0,0,0,2,4,4,0,2,3,2,1,5,1, ,3,4,9997, ,1,17:10:00,55,2,1, ,623, ,5,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG02,24,1,2,622, ,6,1.006921
NIG1512,1,644,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,997,997,997,997,997,997,997,1,2,5,1,11/1/2012,16:30:00,62,622, ,1,2,3,2,3,5,5,1,1,0,1,1,2,2,2,0,0,7,3, ,4, ,4,3,0,0,2,1,2,3,4,4,4,1,1,1,4,1,4,0,0,0,0,0,0,0,1,4,4,4,0,0,0,0,0,0,0,1,1,1,3,1,1,4,1,4,1,2,3,1,2,2,1,3,4,5,5,10,7,9,7,6,10,5,5,5,1,1,1,1,2,1,0,1,3,3,2,1,1,1,1,2,2,0,0,0,2,1,2,1,2,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,2,1,2,7,7,7,7,7,1,0,0,3, ,4, ,13, ,3,1,1,1,2,1,2,3,3,3,1,1,1,1,1,1,2,1,1,2,2,3,3,5,2,1,3,5,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7,3,3,3,3,3,3,1,3,1,0,1,7,7,0,3,3,3,3,3,7, ,1,9,5,2,4,1,4,4,4,1,1,2,2,2,2,9,1,2,1,622, ,0,3,5,1,1,0,0,1,0,0,2,1,1,0,9997, ,1,1,0,0,0,1,0,0,0,1,3,2,0,3,18, ,3,4,621, ,1,17:30:00,60,2,1, ,622, ,4,6,4,0,0,0,0,0,4,1,1,1,1,1,1,NIG01,38,1,2,622, ,8,1.006921
NIG1513,1,644,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,997,997,997,997,997,997,997,2,1,3,1,11/2/2012,11:35:00,45,633, ,1,2,2,1,2,5,5,1,2,0,0,0,4,0,0,0,0,7,3, ,1, ,4,4,1,0,3,2,1,4,4,4,2,3,2,2,2,2,2,0,0,1,3,0,0,0,1,4,4,4,0,0,0,0,0,0,0,2,1,1,3,2,1,1,3,2,2,3,4,2,4,3,1,2,3,2,4,99,7,8,4,99,9,4,4,9,1,2,2,1,0,1,0,1,3,3,3,2,1,1,2,3,2,1,2,1,2,2,1,1,2,1,1,2,1,0,1,2,2,1,2,2,2,3,1,1,1,2,2,1,0,0,0,0,0,0,1,3, ,23, ,7, ,3,1,2,1,2,1,1,3,4,3,3,2,3,4,2,2,3,3,3,4,3,3,3,3,4,2,5,5,0,0,0,0,0,0,7,7,7,7,7,7,0,0,7,3,2,2,3,0,1,1,1,1,1,1,1,7,0,4,4,4,3,3,3, ,1,1,4,3,1,1,1,1,1,1,3,2,2,4,4,3,1,4,1,632, ,3,3,1,9,1,0,0,1,1,0,2,1,1,1,638, ,1,1,0,0,0,1,4,4,0,3,3,2,3,5,1, ,3,4,638, ,1,12:20:00,45,1,1, ,1, ,5,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG01,38,1,2,622, ,8,1.033967
NIG1514,1,644,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,997,997,997,997,997,997,997,2,1,3,1,11/2/2012,11:50:00,33,622, ,2,4,3,2,5,5,5,1,0,0,0,0,1,2,1,1,0,0,1, ,1, ,3,3,3,3,1,2,1,2,4,4,4,1,1,1,4,1,4,0,0,1,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,1,1,1,3,1,1,4,1,4,1,2,4,1,2,1,2,2,4,10,9,10,9,10,9,0,10,5,5,5,1,1,4,1,2,1,1,0,3,3,3,1,1,1,1,2,1,1,1,1,2,1,1,0,3,1,0,1,1,0,2,2,3,2,3,2,3,3,2,2,1,2,2,3,0,0,3,0,3,0,0,1, ,16, ,13, ,2,1,1,2,1,1,1,3,3,3,1,1,1,1,1,1,2,1,1,2,2,2,2,1,4,1,5,5,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7,3,3,1,4,3,3,1,3,1,1,1,1,1,0,3,3,3,2,3,4, ,1,1,5,4,4,1,4,4,4,1,1,4,4,2,2,3,4,2,1,622, ,0,3,5,1,1,1,1,1,0,0,3,2,2,1,638, ,1,1,1,3,3,1,4,2,0,3,2,2,2,6,1, ,3,4,9998, ,1,12:44:00,54,1,1, ,1, ,4,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG02,24,1,2,622, ,6,1.033967
NIG1515,1,644,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,997,997,997,997,997,997,997,2,1,5,1,11/2/2012,12:40:00,25,622, ,1,3,3,2,2,1,3,1,0,0,0,0,0,3,2,0,1,0,3, ,1, ,4,4,4,4,3,1,5,1,4,4,3,2,3,3,4,4,1,1,0,1,4,0,2,0,7,3,4,4,0,0,0,0,0,0,0,1,5,1,3,2,1,3,2,2,3,2,1,1,2,1,1,1,0,0,8,9,9,10,7,0,10,5,4,2,2,3,3,1,2,1,1,0,2,2,1,1,1,2,1,0,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,16, ,14, ,20, ,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,2,1,1,1,3,5,5,5,5,0,7,7,7,7,7,0,7,7,7,7,7,0,0,7,1,2,1,1,3,2,0,0,0,0,0,7,7,1,1,2,2,3,3,2, ,2,2,3,2,1,3,3,4,4,2,2,1,1,2,2,2,3,2,1,622, ,0,2,2,1,1,1,1,1,1,0,0,0,0,0,9997, ,1,1,0,4,4,1,4,3,0,5,3,2,0,5,18, ,2,4,633, ,18,13:40:00,60,1,1, ,1, ,5,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG03,31,2,2,622, ,6,1.033967
NIG1516,1,644,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,7,1,997,997,997,997,997,2,1,1,1,11/2/2012,12:22:00,32,621, ,1,1,9,9,4,4,4,1,3,1,3,3,0,0,0,0,0,7,5, ,8, ,4,4,0,0,1,0,2,3,4,4,2,1,4,3,3,2,2,0,0,1,1,2,1,0,1,4,4,4,0,0,0,0,0,0,0,2,1,1,3,3,3,3,2,3,3,5,3,1,3,2,2,1,5,7,8,10,8,7,9,9,7,1,2,1,1,1,2,1,3,1,1,0,2,1,2,2,2,2,1,2,1,0,2,1,1,1,1,2,2,2,3,1,1,1,2,3,3,1,1,1,1,3,1,1,1,1,1,0,0,0,0,0,0,0,1,3, ,14, ,2, ,2,1,1,1,2,2,2,1,2,1,1,2,1,3,3,1,1,1,3,3,3,3,3,2,2,3,3,2,0,7,7,7,7,7,0,1,0,0,2,2,0,0,7,2,2,4,2,3,1,2,1,0,0,1,1,1,3,3,4,3,2,3,4, ,2,1,4,3,1,2,3,1,2,1,2,2,2,4,2,2,3,2,2,621, ,3,2,2,1,0,1,0,1,0,0,0,0,0,0,9997, ,1,1,0,1,1,1,4,3,0,1,3,2,3,4,2, ,1,4,638, ,19,13:17:00,55,1,1, ,1, ,5,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG04,33,2,2,633, ,8,1.033967
NIG1517,1,644,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,997,997,997,997,997,997,997,1,2,4,2,11/2/2012,12:35:00,20,622, ,3,3,3,4,3,5,5,2,2,1,1,1,2,0,0,1,0,0,2, ,1, ,4,4,1,0,1,1,1,4,4,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,4,4,4,0,0,0,0,0,0,0,2,2,1,3,1,1,1,2,2,3,1,4,1,3,3,1,3,7,8,99,10,10,10,99,99,10,5,4,4,1,1,1,1,0,0,0,0,3,3,0,2,3,1,2,2,3,0,1,1,2,2,3,1,2,1,2,1,1,1,2,1,2,2,2,2,2,3,9,1,2,2,2,7,7,7,7,7,0,0,0,4, ,16, ,24, ,3,1,2,1,1,1,1,3,3,4,2,1,3,3,2,1,2,2,2,3,3,3,3,3,3,5,5,2,0,7,7,7,7,7,0,1,1,1,2,0,0,0,7,3,9,3,3,9,9,9,9,1,1,1,1,7,0,4,4,4,2,2,6, ,2,9,4,1,1,1,1,1,1,2,4,2,2,2,2,3,1,9,1,622, ,1,3,4,0,0,1,1,1,1,0,1,0,0,0,9997, ,1,1,0,0,0,1,4,4,0,4,2,2,2,5,18, ,3,4,621, ,1,13:25:00,50,2,1, ,1, ,5,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG01,38,1,2,622, ,8,1.033967
NIG1518,1,644,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,997,997,997,997,997,997,997,1,2,2,2,11/2/2012,12:50:00,43,621, ,1,4,4,4,1,9,9,1,1,0,0,1,1,1,1,0,0,7,3, ,1, ,2,2,0,0,0,0,2,3,3,3,4,2,4,1,4,1,4,0,0,0,0,0,0,0,2,4,4,4,0,0,0,0,0,0,0,9,4,2,3,2,1,4,2,4,1,2,4,1,2,1,2,3,2,5,6,10,99,9,99,99,9,5,5,5,1,1,1,1,2,0,1,0,3,3,9,0,2,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,7,7,7,7,7,0,0,0,4, ,23, ,16, ,3,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,5,5,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7,2,2,2,1,0,1,1,3,1,1,1,7,7,0,3,3,4,2,3,6, ,1,9,4,3,3,1,4,4,4,1,1,1,1,2,2,9,1,2,1,626, ,0,3,5,1,1,0,0,1,0,0,3,2,2,0,9997, ,1,1,0,0,0,0,0,0,0,4,3,2,1,0,15, ,3,4,9997, ,1,13:40:00,50,2,1, ,623, ,5,1,4,1,0,0,0,0,4,1,1,1,1,1,2,NIG02,24,1,2,622, ,6,1.033967
NIG1519,1,644,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,997,997,997,997,997,997,997,1,2,2,1,11/2/2012,11:20:00,70,620, ,4,4,4,4,4,4,4,2,1,0,3,0,1,0,0,0,0,7,8, ,1, ,4,4,3,0,3,2,2,3,4,4,2,2,3,2,2,2,3,0,2,1,1,0,1,0,1,3,3,3,1,1,1,2,0,0,0,3,2,2,3,3,3,3,2,3,3,3,3,1,4,3,2,1,5,6,7,10,10,10,8,9,8,1,2,2,3,3,3,1,1,2,3,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,1,3,1,3,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,20, ,16, ,17, ,2,3,2,2,2,1,1,1,1,1,2,2,2,3,3,2,1,1,3,3,3,2,2,2,2,2,1,1,0,7,7,7,7,7,3,1,0,0,0,0,1,0,7,2,2,2,1,3,1,1,1,0,0,0,7,7,3,3,3,2,2,3,4, ,3,1,3,4,1,3,3,3,2,3,2,2,1,2,2,2,3,2,1,622, ,2,2,2,1,0,1,0,1,0,0,3,3,3,1,621, ,1,1,0,0,0,1,4,2,1,2,3,2,0,2,18, ,2,4,621, ,1,12:20:00,60,2,1, ,622, ,5,2,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG04,33,2,2,633, ,8,1.033967
NIG1520,1,644,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,997,997,997,997,997,997,997,1,2,2,1,11/2/2012,11:35:00,35,622, ,4,4,4,4,4,5,5,2,1,0,0,1,1,0,0,0,0,7,6, ,1, ,1,2,0,0,1,0,1,4,4,4,4,4,4,4,4,1,4,0,0,0,0,1,0,0,0,4,4,4,0,0,0,0,0,0,0,2,2,2,3,3,3,2,3,3,3,2,4,3,3,3,3,2,5,6,4,8,7,7,5,4,9,5,4,4,2,2,3,2,1,0,1,0,3,2,1,0,1,2,1,0,2,1,1,0,4,3,2,1,1,1,0,1,1,1,2,2,2,1,2,2,2,1,2,0,2,2,2,0,0,0,0,0,0,0,0,3, ,15, ,4, ,2,3,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,4,4,3,2,4,5,5,5,3,3,0,7,7,7,7,7,0,7,7,7,7,7,0,0,7,3,3,3,3,3,1,1,0,0,0,0,0,0,0,2,2,2,3,2,6, ,2,3,4,4,1,2,2,1,2,4,4,3,3,3,4,1,2,3,3,622, ,0,3,5,1,1,1,1,1,1,0,1,0,0,1,622, ,1,1,0,0,0,1,3,0,0,2,3,2,3,4,18, ,3,4,621, ,1,12:30:00,55,2,1, ,622, ,5,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG03,31,2,2,622, ,6,1.033967
NIG1521,1,644,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,997,997,997,997,997,997,997,2,1,3,1,11/1/2012,13:05:00,60,633, ,1,4,4,3,4,3,4,1,0,0,1,0,2,0,0,0,0,7,9999, ,1, ,0,3,3,0,9,0,2,3,4,4,3,2,3,3,3,2,2,0,0,0,2,0,0,0,1,2,2,2,0,0,0,0,0,0,0,1,2,2,3,2,1,1,2,3,3,4,3,2,3,2,1,3,7,8,6,5,10,10,9,8,9,4,4,2,3,3,3,1,3,1,3,2,2,2,1,2,2,2,2,2,1,0,1,2,1,1,9,9,9,9,0,1,9,0,9,9,1,0,3,1,3,2,1,2,2,2,2,0,0,0,0,0,0,0,0,3, ,16, ,17, ,1,1,2,2,1,1,1,2,2,1,1,1,2,3,1,1,3,1,1,3,3,2,3,1,2,3,5,9,0,7,7,7,7,7,0,0,0,0,0,0,1,0,7,3,3,1,1,3,1,1,1,0,0,0,7,7,3,3,4,4,2,3,3, ,2,1,4,3,1,2,2,2,2,1,3,3,2,4,3,2,3,2,2,632, ,3,2,2,1,0,1,0,1,0,0,3,3,0,0,9997, ,1,1,9,0,0,1,4,3,0,3,2,2,1,2,13, ,2,4,621, ,19,14:00:00,55,1,1, ,1, ,5,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG03,31,2,2,622, ,6,1.106781
NIG1522,1,644,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,997,997,997,997,997,997,997,2,1,2,2,11/1/2012,11:59:00,38,9995,DELTA,1,2,3,2,2,2,3,1,0,0,0,2,2,2,1,3,1,1,5, ,1, ,4,4,3,2,3,2,1,1,3,3,2,2,1,3,2,1,2,0,0,0,0,0,0,0,1,3,3,3,0,0,0,0,0,1,0,1,5,4,3,2,2,3,3,2,3,2,3,2,3,2,1,3,3,3,5,10,8,6,7,2,7,4,4,4,2,2,2,2,3,1,1,2,2,0,2,2,3,2,1,2,2,0,1,1,2,2,1,1,1,0,1,0,0,0,3,3,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,23, ,24, ,16, ,1,3,1,1,1,1,1,3,3,1,1,1,3,4,2,3,3,3,1,1,3,4,3,3,3,2,3,3,7,7,7,7,7,7,0,2,0,3,3,0,0,0,7,3,3,1,3,0,1,1,1,1,1,1,7,7,0,4,4,3,2,3,6, ,4,1,4,3,1,2,1,2,3,3,4,3,3,2,2,3,2,4,1,9995,DELTA,1,1,1,0,0,0,0,1,0,0,0,0,0,0,9997, ,1,1,0,3,3,1,4,3,0,2,3,2,0,6,1, ,1,4,9997, ,17,12:48:00,49,1,1, ,1, ,5,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG02,24,1,2,622, ,6,1.106781
NIG1523,1,644,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,997,997,997,997,997,997,997,2,1,6,1,11/1/2012,11:52:00,24,630, ,1,2,4,2,2,2,4,1,0,0,1,1,0,0,0,0,0,7,4, ,1, ,4,4,0,3,2,1,1,3,4,4,2,3,3,3,4,1,3,0,0,2,3,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,2,2,2,3,1,1,2,2,2,2,3,2,1,1,1,9,1,10,6,7,4,5,3,9,6,5,2,5,3,4,3,1,1,2,3,1,3,1,1,2,3,1,2,0,2,3,3,2,3,2,1,0,0,9,1,0,1,0,1,1,0,3,2,1,2,2,2,2,2,2,2,0,0,0,0,0,0,0,1,14, ,3, ,16, ,1,1,1,1,1,2,1,2,2,1,1,1,2,3,3,1,1,1,1,1,1,3,3,5,5,1,5,5,0,7,7,7,7,7,0,0,0,0,0,0,0,0,7,1,2,9,3,3,1,1,1,0,0,1,1,1,2,4,3,4,2,3,6, ,2,2,4,2,1,2,3,2,2,1,3,2,2,4,3,2,3,2,2,629, ,3,3,2,1,0,1,1,1,0,0,3,1,1,1,621, ,1,1,0,3,2,1,4,4,0,5,2,2,2,5,9, ,2,4,621, ,1,12:42:00,50,1,1, ,1, ,5,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG01,38,1,2,622, ,8,1.106781
NIG1524,1,644,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,997,997,997,997,997,997,997,2,1,7,1,11/1/2012,13:05:00,26,621, ,1,2,3,4,4,5,5,1,2,0,0,3,2,0,0,0,0,7,5, ,1, ,4,4,3,2,2,1,1,3,3,3,2,1,2,3,2,2,2,1,0,0,0,0,0,0,1,4,4,4,0,0,0,0,0,0,0,1,4,4,3,2,1,4,3,1,4,1,4,2,3,1,1,3,5,7,8,10,7,9,5,3,9,2,2,4,2,1,3,2,3,1,1,2,3,0,0,2,3,2,1,2,2,0,1,1,2,2,1,0,0,2,0,3,1,0,3,2,3,1,3,2,3,3,2,2,3,3,3,1,2,0,0,0,0,0,0,23, ,16, ,4, ,3,3,2,1,1,1,2,3,4,3,1,3,2,4,3,1,4,1,3,2,4,4,3,3,3,2,3,3,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7,3,3,2,3,0,1,0,0,1,1,1,7,7,0,4,4,3,3,3,3, ,3,2,4,3,1,2,1,2,3,3,3,2,2,2,2,3,2,3,1,621, ,0,3,1,9,9,9,9,9,9,0,3,1,3,0,9997, ,1,1,0,4,4,1,4,4,0,7,2,2,1,8,1, ,3,3,639, ,17,14:00:00,55,1,1, ,1, ,5,1,1,0,0,0,0,0,4,1,1,1,1,1,1,NIG04,33,2,2,633, ,8,1.106781
